id,title,content,true_label
16,Buyer beware,"This is a self-published book, and if you want to know why--read a few paragraphs! Those 5 star reviews must have been written by Ms. Haddon's family and friends--or perhaps, by herself! I can't imagine anyone reading the whole thing--I spent an evening with the book and a friend and we were in hysterics reading bits and pieces of it to one another. It is most definitely bad enough to be entered into some kind of a ""worst book"" contest. I can't believe Amazon even sells this kind of thing. Maybe I can offer them my 8th grade term paper on ""To Kill a Mockingbird""--a book I am quite sure Ms. Haddon never heard of. Anyway, unless you are in a mood to send a book to someone as a joke---stay far, far away from this one!",negative
17,Poor Pam Grier,"Basically unprofessional in every way - broad as a barn comedy, barely convincing acting and a 'script' that's an afterthought - but it is a 'Women In Prison' flick so what the heck... I give it a couple a stars. If you're new to this genre try some of the other WiP classics first though - Caged Heat for instance.",negative
18,Junk Junk Junk!,I got these and like some of the other reviews thought it was really nice and soft. After only a couple of weeks on the bed the bottom of the bed sheet has gotten all frayed and torn. It now looks like cheese cloth on the bottom. I got what I paid for......something cheap.,negative
19,"Good idea, mediocre delivery","Yeah, the premise is cool, but it wears thin fast. By the end it all just seems so silly and predictable. Decent production values and a few scary moments don't quite make this worth a second watch.Just how did Jared Leto just appear in the other room at the end? And where exactly were they driving to so fast at the end?Good idea, just underdeveloped and mediocre in its delivery.",negative
20,Very Confusing,"This book had 16 main characters , 16 different characters . It was very confusing and had a fairly weak plot . But it did get a little less confusing and had an OK ending . Although I don't exacly like Mystery . This book was not worth while , did not keep my attention and I would'nt of read it if I was not required to .",negative
21,Flimsy,"I ordered two of these based on one my daughter-in-law had been given some years ago. It's a great game - but this playing board is pressed from very thin celluloid and is so flimsy I feel it will not last many games. In fact, one was received (in Cincinnati)very slightly deformed as the box had been slightly crushed in local transit.",negative
22,Not what I expected,I thought I was buying an ordinary head light replacement bulb.The item description did not say anything to the contrary.The package when it arrived had a small print marking saying not for ordinary street use. This implies that it must be super bright or somehow inappropriate. I should have returned the 2 packages (4 bulbs) but figured it was too late.,negative
23,Madonna returns to her white-trash roots,"After her brief stint in spirituality, Madonna returns with a vengeance to her familiar white trash roots, a genre in which she is more familair. The usual melodic-less throw ups abound. She returns what she is most famous for; empty ,meaningless, cringing, mindless lyrics.I think there was one song that was good on here, and that's saying alot. Stay away from this one folks. And Madge, lose the bucket hat.",negative
24,fast women,"Well here we are once again , disapointed. so far none have compared to her' Tell me lies'....Im sorry, but I just feel she's trying way to hard.and it just doesn't work. I didn't feel good about this one.",negative
25,Not a clear teaching guide,"This book does not provide a clear step by step teaching guide. Too much talk in between code analysis that loses the prior discussion, not a goo tie-it-together approach. Cannot even obtain the examples by FTP which without, you cannot do ANY of this type of programming.",negative
26,Not recommended except for grindcore fans,"I've got about 30 Zorn albums, but sold this one. I love the many sides of John Zorn, but this has way too much of the hardcore grinding for my tastes. I prefer more variety like on the first Naked City album--in which the short screaming punk pieces are punctuation between more listenable (even if loud) tracks. This however is just ear torture--not quite ListenProof, but not music that I want to spend my time hearing. Not on my recommended Zorn list, despite the praise of other reviewers here.",negative
27,"Looks good, but","Haven't had a chance to install one of the ink cartridges, but the glossy paper is mediocre at best, lighter stock and extremely difficult to get proper color qirh my usual settings. Very disappointed as contrasted (no pun) with Epson premium glossy. As a result, if you need paper for throw away snapshots, this is your choice. Otherwise, you may want to reconsider. This is another lesson that one gets what one pays for . . .",negative
28,it is not a right fit.,"did not fit, had to make adjustments, had to cut it in few spaces to make it fit. will NOT fit 2009 routan.",negative
29,Not very good!,"Copyright 1929 by Short Stories, Inc., may explain why this is not a very good book, especially for Ernest Haycox, possibly a short story with added content, the story of Hugh Kingmead returning to Sun Ford, Oregon, after 8 years as a stockbroker in New York City to clear his name of being the killer of Colonel Starrett,",negative
30,unclear description,"I have an above ground pool and I did not realize that this is more for inground concrete pools?My criticism is that there were absolutely NO directions in the packaging. In addition, after calling the Swimline customer service, I discovered I have to have some type of hose to connect with it.I am returning it because I just wanted a simple vacuum I could use with my above ground pool without a lot of expense, but this is too confusing and expensive with having to buy the pool hose as well.",negative
